module,file,call_site_family,variant,count,height_tier_px,width_mode,local_duplicate_classes,compliance,notes
launchpad,launchpad/presentation/pages/launchpad_staking_page_part_01.dart,VitSegmentedChoice,primaryAccent,2,44,equal_expanded,-,pass,
launchpad,launchpad/presentation/pages/launchpad_staking_page_part_02.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
launchpad,launchpad/presentation/pages/launchpad_webhooks_page_part_01.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
launchpad,launchpad/presentation/widgets/launchpad_abi_diff_summary.dart,VitChoicePill,chip,1,44,hug,-,pass,
launchpad,launchpad/presentation/widgets/launchpad_address_book_controls.dart,VitChoicePill,chip,1,44,hug,-,pass,
launchpad,launchpad/presentation/widgets/launchpad_dca_builder_common.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
launchpad,launchpad/presentation/widgets/launchpad_event_log_filter_widgets.dart,VitFilterChip,filter_accent,2,44,hug_scroll,-,review,wrapper over VitChoicePill
launchpad,launchpad/presentation/widgets/launchpad_home_project_widgets.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
launchpad,launchpad/presentation/widgets/launchpad_limit_orders_create_fields.dart,VitChoicePill,chip,1,44,full_or_hug,-,pass,
launchpad,launchpad/presentation/widgets/launchpad_limit_orders_header_widgets.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
